抓取時間,新聞標題,AI 情緒標籤,AI 信心度,當前股價,今日漲跌%,內文摘要,當時股價
2026-02-25 23:11,台積電衝破2千點！夫妻倆早備好500萬「閉眼All in」：等不了拉回,Positive,0.999,2015.0,2.54,台積電衝破2千點！夫妻倆早備好500萬「閉眼All in」：等不了拉回 FTNN新聞網 2026年2...,
2026-02-25 23:11,退休想躺平？ 外媒點名抱緊這3檔 台積電成致富密碼,Positive,0.9987,2015.0,2.54,退休想躺平？ 外媒點名抱緊這3檔 台積電成致富密碼 賴宇萍 2026年2月25日 週三 下午10:4...,
2026-02-25 23:11,AI＋Mac Mini在美生產利多！國家隊暴砍鴻海捲21億　反手再砍台塑三寶提款9.5億元,Positive,0.9859,2015.0,2.54,AI＋Mac Mini在美生產利多！國家隊暴砍鴻海捲21億 反手再砍台塑三寶提款9.5億元 FTNN...,
2026-02-25 23:11,"輝達財報倒數 台積電期貨夜盤衝2,030元",Positive,0.9989,2015.0,2.54,"輝達財報倒數 台積電期貨夜盤衝2,030元 工商時報 鄭郁平 2026年2月25日 週三 下午10:...",
2026-02-25 23:11,鴻海子公司處分群創4.3萬張　實現利益6.18億元,Positive,0.9835,2015.0,2.54,鴻海子公司處分群創4.3萬張 實現利益6.18億元 中央社 2026年2月25日 週三 下午9:53...,
2026-02-25 23:11,台股元月行情強強滾！證券商獲利翻倍狂賺252億元 自營業務年增逾5倍,Positive,0.9981,2015.0,2.54,台股元月行情強強滾！證券商獲利翻倍狂賺252億元 自營業務年增逾5倍 鉅亨網記者陳于晴 台北 202...,
2026-02-25 23:11,鴻海處分群創4.34萬張 已實現獲利6.18億元,Positive,0.9881,2015.0,2.54,鴻海處分群創4.34萬張 已實現獲利6.18億元 鉅亨網記者彭昱文 台北 2026年2月25日 週三...,
2026-02-25 23:11,愛立信布局6G  MWC與聯發科、蘋果公司策略合作   台廠供應鏈受惠,Positive,0.9981,2015.0,2.54,愛立信布局6G MWC與聯發科、蘋果公司策略合作 台廠供應鏈受惠 工商時報 林淑惠 2026年2月2...,
2026-02-26 08:34,台股狂歡模式啟動？這「載板大廠」60天漲逾180％成焦點　注意股一次爆27檔...玻纖布、低軌衛星全線飆漲,Positive,0.9223,2015.0,2.54,台股狂歡模式啟動？這「載板大廠」60天漲逾180％成焦點 注意股一次爆27檔...玻纖布、低軌衛星全...,
2026-02-26 08:34,《台北股市》日月光、均華後市強勁,Positive,0.9979,2015.0,2.54,《台北股市》日月光、均華後市強勁 時報資訊 2026年2月26日 週四 上午8:18 日月光投控 3...,
