抓取時間,新聞標題,AI 情緒標籤,AI 信心度,當時股價,今日漲跌%
2026-02-25 12:51:46,爽領380億現金股利！「國家級大股東」抱台積電26個月帳面暴增近7700億,Positive,0.7462,2010.0,0.75
2026-02-25 12:51:46,輝達財報樂觀＋GTC在即，老AI突圍，緯創/緯穎帶頭攻，廣達/鴻海同歡,Positive,0.9974,2010.0,0.75
2026-02-25 12:51:46,台股盤中大漲逾750點 (圖),Positive,0.838,2010.0,0.75
2026-02-25 12:51:46,5度被列「注意股」仍漲瘋！　台積電強攻破2千元新天價,Negative,0.848,2010.0,0.75
2026-02-25 12:51:46,台股猛漲破800點！中工經營權開打「股價慘摔跌停板」　這2檔也慘亮綠燈,Negative,0.9054,2010.0,0.75
2026-02-25 12:51:46,《台北股市》台積電2025元新天價解鎖！ 37千金齊創新猷,Positive,0.9819,2010.0,0.75
2026-02-25 12:51:46,16個月翻倍！台積電市值突破2兆美元：AI算力需求檔不住 2奈米製程成殺手鐧,Negative,0.5222,2010.0,0.75
2026-02-25 12:51:46,台股飆漲800點！高股息ETF 00936填息達陣 改寫19個月以來新高,Positive,0.7553,2010.0,0.75
2026-02-25 12:51:46,國民黨推「晶片國安法」台積電前工程師：防高階製程外流護國,Negative,0.5058,2010.0,0.75
2026-02-25 12:51:46,台積電再攻天價登2025元（3） (圖),Positive,0.9242,2010.0,0.75
2026-02-25 12:51:46,台積電再攻天價登2025元（2） (圖),Positive,0.9215,2010.0,0.75
2026-02-25 12:51:46,台積電再攻天價登2025元（1） (圖),Positive,0.9263,2010.0,0.75
2026-02-25 12:51:46,台積電ADR飆漲4.25％！市場再度關注AI熱潮　美股全收高,Positive,0.979,2010.0,0.75
2026-02-25 12:51:46,台積電衝上2000元「蛋清」成歷史？阿格力：別預設立場,Negative,0.9422,2010.0,0.75
2026-02-25 12:51:46,台股開春連三紅衝上35K！00988A開春漲幅8.5％ 居海外主動ETF之首,Positive,0.9901,2010.0,0.75
2026-02-25 12:51:46,台股大漲笑納9百點!　00981A最飆掛牌9個月、翻倍強登20元大關,Positive,0.9207,2010.0,0.75
2026-02-25 12:51:46,太依賴台積電？學者：晶片是川習會談判籌碼,Positive,0.5304,2010.0,0.75
2026-02-25 12:51:46,零關稅變15％ 黃偉哲拿台積電比喻：台灣蝴蝶蘭夠強 世界會我們開路,Positive,0.9563,2010.0,0.75
2026-02-25 17:05:32,馬年展望》看旺台積電　券商公會理事長喊話台股上5萬點,Positive,0.9202,2015.0,1.0
2026-02-25 17:05:32,台積電創新高帶旺科技、半導體ETF　小資瘋搶「不配息0050」爆74萬張天量,Positive,0.9906,2015.0,1.0
2026-02-25 17:05:32,"台積電破2,000元大關！這11檔主動式台股ETF 跟著活跳跳",Positive,0.7636,2015.0,1.0
2026-02-25 17:05:32,統一期貨：台積電、台達電上漲2-4%，帶動台指期連兩日大漲,Positive,0.9046,2015.0,1.0
2026-02-25 17:05:32,證交所公布26檔「注意股」名單  台積電漲勢兇猛被盯上了,Positive,0.6748,2015.0,1.0
2026-02-25 17:05:32,元富期貨：台積電突破2000元大關，加權指數大漲2.05%,Positive,0.9624,2015.0,1.0
2026-02-25 17:05:32,"台積電登2,000大關！「神山」護體＋主動選股  5檔主動式ETF二月跑贏大盤",Positive,0.9973,2015.0,1.0
2026-02-25 17:05:32,想買台積電「等不到拉回」！ 夫妻不忍了：500萬閉眼All in,Negative,0.9982,2015.0,1.0
2026-02-25 17:12:32,蘋果在美生產Mac mini 與台積電合作更深,Positive,0.9836,2015.0,1.0
2026-02-25 17:12:32,藍推「晶片國安法」卡台積電 林楚茵轟擴權：黑手伸進私人企業,Negative,0.9389,2015.0,1.0
2026-02-25 18:05:44,台股飆破3萬5歷史新紀錄！三大法人狂砸425億元搶進　股民笑：「小兒加發三節紅包」,Positive,0.9481,2015.0,1.0
2026-02-25 18:05:44,跟台積電帶飛！主動式ETF00981A掛牌不到一年漲破102% 26萬人嗨翻,Positive,0.9002,2015.0,1.0
2026-02-25 18:05:44,配合台積電高雄廠　日勝生投資88.5億開發R17都更案,Positive,0.9655,2015.0,1.0
2026-02-25 18:05:44,台股3天狂飆1807點  證券公會理事長：中長線上看5萬點,Positive,0.6032,2015.0,1.0
2026-02-25 18:05:44,轟傅崐萁「炒股更生人」！林楚茵酸：藍委們這麼怕台積電被偷股票賣了嗎,Negative,0.9252,2015.0,1.0
2026-02-25 18:05:44,《台北股市》護國神山今再創高 證交所：台積電絕不會被列處置股,Positive,0.8489,2015.0,1.0
2026-02-25 18:05:44,台積電站上2015元新天價 彭信坤：先進製程領先不怕關稅,Positive,0.9577,2015.0,1.0
2026-02-25 18:05:44,藍擬立法限台積電外移　她轟黑手伸私人企業,Negative,0.9532,2015.0,1.0
2026-02-25 18:05:44,台股大漲！新台幣強升1.21角　明挑戰31.3元,Positive,0.8967,2015.0,1.0
2026-02-25 18:05:44,台積電「億萬富翁製造機」　股價站上2000元秒增3884位億萬豪野人,Positive,0.9934,2015.0,1.0
2026-02-25 18:05:44,台股2天來飆逾1600點　外資買超高達千億！加碼面板股、2檔權值股和ETF,Positive,0.8401,2015.0,1.0
2026-02-25 18:17:45,魏哲家昔喊''多買股票''! 台積電飆2025元新天價,Positive,0.6393,2015.0,2.54
2026-02-25 18:17:45,"台積電鉅額交易全數突破2,004元 最高價2,015元與收盤價相同",Positive,0.5484,2015.0,2.54
2026-02-25 22:50:04,AI＋Mac Mini在美生產利多！國家隊暴砍鴻海捲21億　反手再砍台塑三寶提款9.5億元,Positive,0.9461,2015.0,2.54
2026-02-25 22:50:04,竊取2奈米核心機密！涉嫌幫台積電內鬼滅證　東京威力科創女主管遭求刑1年,Negative,0.9445,2015.0,2.54
2026-02-25 22:50:04,"輝達財報倒數 台積電期貨夜盤衝2,030元",Positive,0.5124,2015.0,2.54
2026-02-25 22:50:04,台積電屢創天價　台股5天飆漲3008點、市值攀高至115.41兆元,Positive,0.8191,2015.0,2.54
2026-02-25 22:50:04,台積電屢創天價　台股5天飆漲3008點,Negative,0.5639,2015.0,2.54
